encoder,scenario,metric,n_scenes,mean,ci_lo,ci_hi
clip_b32,intersection,accel_rmse_mps2,53,0.6520065910256336,0.590470178531301,0.716087640557791
clip_b32,intersection,steer_rmse_deg,53,2.711308366121121,2.185145400391336,3.219780390456893
clip_b32,other,accel_rmse_mps2,97,0.6865760571157674,0.6382501256979128,0.7386170024196534
clip_b32,other,steer_rmse_deg,97,4.76301709417504,3.8777926529403497,5.848667350613394
dino_vits14,intersection,accel_rmse_mps2,53,0.678834504740654,0.625688828479975,0.740274061656681
dino_vits14,intersection,steer_rmse_deg,53,2.4597001906174873,1.988452107624858,2.9734580288497243
dino_vits14,other,accel_rmse_mps2,97,0.7420045065828436,0.693823323233025,0.7965199239922818
dino_vits14,other,steer_rmse_deg,97,4.1949475075099425,3.4436137602883417,5.1079306038331005
vit_s16,intersection,accel_rmse_mps2,53,0.6845734750378394,0.6196092285813529,0.7476621895053268
vit_s16,intersection,steer_rmse_deg,53,2.8739843889021532,2.3515496390131667,3.406669151906382
vit_s16,other,accel_rmse_mps2,97,0.7257404308006788,0.6705538642019444,0.7881630561983016
vit_s16,other,steer_rmse_deg,97,4.84515421589189,4.033487073644161,5.84980936941115
vjepa2_rep1,intersection,accel_rmse_mps2,53,0.569510417135939,0.5129392061561934,0.6332422216466893
vjepa2_rep1,intersection,steer_rmse_deg,53,2.4126410426133282,1.8118457639207397,3.011219231738153
vjepa2_rep1,other,accel_rmse_mps2,97,0.5988483065496489,0.5470601228967499,0.6569143457685085
vjepa2_rep1,other,steer_rmse_deg,97,3.861139394816096,3.016472262379405,4.871491172007284
vjepa2_rep64,intersection,accel_rmse_mps2,53,0.5046301301969311,0.4469787347268608,0.5619820177482022
vjepa2_rep64,intersection,steer_rmse_deg,53,1.4572444619839118,1.1635941371363085,1.7372508773757185
vjepa2_rep64,other,accel_rmse_mps2,97,0.5672117111181874,0.522758343807302,0.6202266476403562
vjepa2_rep64,other,steer_rmse_deg,97,2.283052866182531,1.7733759104797606,2.8875484890052685
vq_track,intersection,accel_rmse_mps2,53,0.6258876796095637,0.5528605775361852,0.6992347162478156
vq_track,intersection,steer_rmse_deg,53,3.3325978545657535,2.4511804489718023,4.214852207704366
vq_track,other,accel_rmse_mps2,97,0.6270311630296338,0.5719931812428577,0.6895543471402833
vq_track,other,steer_rmse_deg,97,4.878830325887717,3.9772902997624366,5.871053059286792
