epoch,train_loss,val_loss
1,0.09068353,0.01691672
2,0.01166580,0.01130925
3,0.00831107,0.00903062
4,0.00705487,0.00767732
5,0.00641527,0.00699572
6,0.00597049,0.00791284
7,0.00555670,0.00659947
8,0.00523832,0.00701375
9,0.00488121,0.00664740
10,0.00479355,0.00643151
11,0.00439648,0.00645822
12,0.00420919,0.00568040
13,0.00403931,0.00575204
14,0.00391810,0.00545085
15,0.00378612,0.00545705
16,0.00387622,0.00488980
17,0.00364612,0.00643522
18,0.00356758,0.00591527
19,0.00348681,0.00518700
20,0.00332422,0.00519037
21,0.00336411,0.00527904
22,0.00334738,0.00466733
23,0.00309320,0.00476373
24,0.00312956,0.00466920
25,0.00300742,0.00479212
26,0.00297920,0.00502372
27,0.00284176,0.00541565
28,0.00286376,0.00457782
29,0.00284030,0.00531466
30,0.00278871,0.00490974
31,0.00279487,0.00467542
32,0.00266973,0.00499774
33,0.00266256,0.00443229
34,0.00252043,0.00469365
35,0.00261269,0.00493695
36,0.00254035,0.00452219
37,0.00250950,0.00424708
38,0.00246352,0.00503980
39,0.00250643,0.00532532
40,0.00252288,0.00455433
41,0.00234701,0.00459908
42,0.00244662,0.00487537
43,0.00248209,0.00491564
44,0.00220719,0.00469382
45,0.00217043,0.00468220
46,0.00222669,0.00453196
47,0.00215778,0.00472589
