encoder,horizon,copy_min,copy_q25,copy_median,copy_q75,copy_max,q1_mean,q4_mean,q4_minus_q1,monotonic
clip_b32,1,0.7188,0.9451,0.9622,0.9754,0.9981,0.9233,0.9862,0.0628,True
clip_b32,2,0.716,0.927,0.9481,0.9656,0.9986,0.8973,0.9814,0.0841,True
clip_b32,3,0.6817,0.9136,0.9373,0.9585,0.9984,0.8815,0.9774,0.0959,True
clip_b32,4,0.6776,0.9032,0.9297,0.953,0.9978,0.8698,0.9742,0.1044,True
dino_vits14,1,0.5256,0.9139,0.9374,0.9569,0.9986,0.8776,0.9789,0.1014,True
dino_vits14,2,0.2489,0.8727,0.909,0.937,0.9985,0.8133,0.9694,0.156,True
dino_vits14,3,0.2021,0.8405,0.8864,0.9223,0.9984,0.7645,0.9614,0.1969,True
dino_vits14,4,0.1983,0.8144,0.8671,0.9085,0.9988,0.7264,0.9545,0.2282,True
vit_s16,1,0.5027,0.8993,0.9302,0.9551,0.9985,0.8547,0.9772,0.1225,True
vit_s16,2,0.4258,0.8587,0.9026,0.9367,0.9984,0.8008,0.968,0.1671,True
vit_s16,3,0.3835,0.8304,0.8813,0.9227,0.9984,0.7658,0.9609,0.1951,True
vit_s16,4,0.2765,0.8086,0.8651,0.9102,0.9983,0.7416,0.9545,0.2129,True
vjepa2_rep1,1,0.5936,0.9867,0.992,0.9949,0.9991,0.9699,0.9967,0.0269,True
vjepa2_rep1,2,0.495,0.9782,0.9879,0.9927,0.9991,0.9468,0.9956,0.0489,True
vjepa2_rep1,3,0.4788,0.9704,0.984,0.9907,0.9991,0.9293,0.9947,0.0653,True
vjepa2_rep1,4,0.4792,0.9635,0.9804,0.9888,0.999,0.9159,0.9938,0.0779,True
vjepa2_rep64,1,0.8675,0.9909,0.9949,0.9971,0.9996,0.9777,0.9981,0.0204,True
vjepa2_rep64,2,0.7608,0.9822,0.9897,0.994,0.9995,0.9591,0.9962,0.0371,True
vjepa2_rep64,3,0.4846,0.9744,0.9848,0.9913,0.9993,0.9413,0.9944,0.0531,True
vjepa2_rep64,4,0.4566,0.9671,0.9809,0.989,0.9994,0.9265,0.9932,0.0667,True
vq_track,1,0.8452,0.9943,0.997,0.9987,1.0,0.988,0.9994,0.0114,True
vq_track,2,0.8786,0.9914,0.9956,0.9981,1.0,0.9817,0.9991,0.0174,True
vq_track,3,0.8228,0.9892,0.9947,0.9977,1.0,0.9767,0.9989,0.0223,True
vq_track,4,0.799,0.9876,0.9938,0.9974,1.0,0.9728,0.9988,0.026,True
