encoder,h_train,step,dit_x0,mlp_residual,gap
clip_b32,4,1,0.919589,0.950769,-0.03118
clip_b32,4,2,0.916384,0.932678,-0.016294
clip_b32,4,3,0.913286,0.921038,-0.007752
clip_b32,4,4,0.910712,0.91322,-0.002508
clip_b32,8,1,0.90205,0.956634,-0.054584
clip_b32,8,2,0.900337,0.941287,-0.04095
clip_b32,8,3,0.897853,0.931411,-0.033558
clip_b32,8,4,0.896572,0.924442,-0.02787
clip_b32,8,5,0.89504,0.919263,-0.024223
clip_b32,8,6,0.893298,0.914445,-0.021147
clip_b32,8,7,0.891522,0.910291,-0.018769
clip_b32,8,8,0.890189,0.907521,-0.017332
clip_b32,16,1,0.889952,0.956429,-0.066477
clip_b32,16,2,0.888379,0.939799,-0.051421
clip_b32,16,3,0.88727,0.928469,-0.041199
clip_b32,16,4,0.885484,0.920966,-0.035482
clip_b32,16,5,0.885224,0.915165,-0.029941
clip_b32,16,6,0.883733,0.91079,-0.027056
clip_b32,16,7,0.882925,0.907181,-0.024256
clip_b32,16,8,0.881837,0.904287,-0.022449
clip_b32,16,9,0.881192,0.902076,-0.020884
clip_b32,16,10,0.880255,0.899684,-0.019429
clip_b32,16,11,0.879348,0.897463,-0.018115
clip_b32,16,12,0.878489,0.894929,-0.01644
clip_b32,16,13,0.877404,0.893028,-0.015624
clip_b32,16,14,0.876707,0.890581,-0.013873
clip_b32,16,15,0.8751,0.888757,-0.013657
clip_b32,16,16,0.874254,0.887717,-0.013463
dino_vits14,4,1,0.845977,0.919686,-0.073709
dino_vits14,4,2,0.836796,0.874113,-0.037317
dino_vits14,4,3,0.827209,0.840992,-0.013783
dino_vits14,4,4,0.817839,0.819225,-0.001386
dino_vits14,8,1,0.800644,0.926671,-0.126027
dino_vits14,8,2,0.796062,0.887363,-0.091301
dino_vits14,8,3,0.791755,0.857366,-0.06561
dino_vits14,8,4,0.786984,0.835513,-0.048529
dino_vits14,8,5,0.781837,0.818045,-0.036208
dino_vits14,8,6,0.776754,0.80351,-0.026756
dino_vits14,8,7,0.770095,0.790894,-0.0208
dino_vits14,8,8,0.764853,0.782276,-0.017423
dino_vits14,16,1,0.761675,0.926678,-0.165003
dino_vits14,16,2,0.759584,0.886659,-0.127075
dino_vits14,16,3,0.756606,0.853741,-0.097135
dino_vits14,16,4,0.75442,0.829237,-0.074817
dino_vits14,16,5,0.75053,0.809796,-0.059266
dino_vits14,16,6,0.748258,0.794697,-0.046438
dino_vits14,16,7,0.744258,0.781451,-0.037193
dino_vits14,16,8,0.741192,0.772462,-0.03127
dino_vits14,16,9,0.738156,0.763701,-0.025545
dino_vits14,16,10,0.73366,0.755962,-0.022301
dino_vits14,16,11,0.729779,0.749651,-0.019873
dino_vits14,16,12,0.726833,0.742759,-0.015925
dino_vits14,16,13,0.722635,0.736375,-0.01374
dino_vits14,16,14,0.719376,0.731047,-0.011671
dino_vits14,16,15,0.715286,0.726076,-0.01079
dino_vits14,16,16,0.712306,0.722683,-0.010377
vit_s16,4,1,0.847665,0.913573,-0.065909
vit_s16,4,2,0.840657,0.877572,-0.036915
vit_s16,4,3,0.834944,0.853924,-0.01898
vit_s16,4,4,0.828168,0.839363,-0.011195
vit_s16,8,1,0.812859,0.917303,-0.104444
vit_s16,8,2,0.808808,0.883064,-0.074256
vit_s16,8,3,0.804677,0.859686,-0.055009
vit_s16,8,4,0.80189,0.843939,-0.042049
vit_s16,8,5,0.797797,0.832823,-0.035026
vit_s16,8,6,0.794136,0.823508,-0.029373
vit_s16,8,7,0.790572,0.815803,-0.025231
vit_s16,8,8,0.786827,0.811228,-0.024401
