copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed
0.922547,0.858682,vit_s16,1,8,dit_x0_actseq,4819,0
0.892225,0.843539,vit_s16,2,8,dit_x0_actseq,4819,0
0.871044,0.832935,vit_s16,3,8,dit_x0_actseq,4819,0
0.855287,0.824327,vit_s16,4,8,dit_x0_actseq,4819,0
0.842683,0.816519,vit_s16,5,8,dit_x0_actseq,4819,0
0.832069,0.809259,vit_s16,6,8,dit_x0_actseq,4819,0
0.822975,0.802632,vit_s16,7,8,dit_x0_actseq,4819,0
0.814762,0.79838,vit_s16,8,8,dit_x0_actseq,4819,0
0.922547,0.910164,vit_s16,1,8,mlp_flat_actseq,4819,0
0.892225,0.87694,vit_s16,2,8,mlp_flat_actseq,4819,0
0.871044,0.855308,vit_s16,3,8,mlp_flat_actseq,4819,0
0.855287,0.841183,vit_s16,4,8,mlp_flat_actseq,4819,0
0.842683,0.830659,vit_s16,5,8,mlp_flat_actseq,4819,0
0.832069,0.821886,vit_s16,6,8,mlp_flat_actseq,4819,0
0.822975,0.814104,vit_s16,7,8,mlp_flat_actseq,4819,0
0.814762,0.808101,vit_s16,8,8,mlp_flat_actseq,4819,0
0.922547,0.825783,vit_s16,1,8,dit_x0_single,4819,0
0.892225,0.823054,vit_s16,2,8,dit_x0_single,4819,0
0.871044,0.818719,vit_s16,3,8,dit_x0_single,4819,0
0.855287,0.815473,vit_s16,4,8,dit_x0_single,4819,0
0.842683,0.811002,vit_s16,5,8,dit_x0_single,4819,0
0.832069,0.807173,vit_s16,6,8,dit_x0_single,4819,0
0.822975,0.802774,vit_s16,7,8,dit_x0_single,4819,0
0.814762,0.799767,vit_s16,8,8,dit_x0_single,4819,0
0.922547,0.917611,vit_s16,1,8,mlp_residual_single,4819,0
0.892225,0.883783,vit_s16,2,8,mlp_residual_single,4819,0
0.871044,0.860695,vit_s16,3,8,mlp_residual_single,4819,0
0.855287,0.846098,vit_s16,4,8,mlp_residual_single,4819,0
0.842683,0.835522,vit_s16,5,8,mlp_residual_single,4819,0
0.832069,0.826278,vit_s16,6,8,mlp_residual_single,4819,0
0.822975,0.818847,vit_s16,7,8,mlp_residual_single,4819,0
0.814762,0.814255,vit_s16,8,8,mlp_residual_single,4819,0
