encoder,seed,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows
clip_b32,0,Q1 (hardest),1,0.897952,0.916822,0.922599,0.923343,-0.024647,-0.018871,-0.025391,1355
clip_b32,0,Q2,1,0.918063,0.934829,0.947028,0.954249,-0.028965,-0.016767,-0.036187,1355
clip_b32,0,Q3,1,0.929889,0.944976,0.959988,0.968605,-0.030099,-0.015087,-0.038716,1354
clip_b32,0,Q4 (easiest),1,0.934713,0.948864,0.974749,0.98617,-0.040036,-0.014151,-0.051457,1355
clip_b32,0,Q1 (hardest),2,0.890354,0.905432,0.897186,0.897277,-0.006832,-0.015078,-0.006924,1355
clip_b32,0,Q2,2,0.914982,0.928713,0.928688,0.938273,-0.013706,-0.013731,-0.023291,1355
clip_b32,0,Q3,2,0.928442,0.940289,0.943501,0.956551,-0.015059,-0.011847,-0.028109,1354
clip_b32,0,Q4 (easiest),2,0.93416,0.946656,0.963311,0.981356,-0.029151,-0.012497,-0.047197,1355
clip_b32,0,Q1 (hardest),3,0.885102,0.896766,0.883036,0.88148,0.002066,-0.011664,0.003622,1355
clip_b32,0,Q2,3,0.912166,0.922164,0.915882,0.926402,-0.003717,-0.009998,-0.014237,1355
clip_b32,0,Q3,3,0.925657,0.934371,0.932756,0.947795,-0.007099,-0.008714,-0.022138,1354
clip_b32,0,Q4 (easiest),3,0.933882,0.942211,0.954553,0.977359,-0.020671,-0.008329,-0.043477,1355
clip_b32,0,Q1 (hardest),4,0.881533,0.890299,0.872045,0.869752,0.009488,-0.008766,0.011781,1355
clip_b32,0,Q2,4,0.910075,0.916898,0.908004,0.917182,0.002071,-0.006823,-0.007107,1355
clip_b32,0,Q3,4,0.923797,0.929263,0.926761,0.941316,-0.002964,-0.005467,-0.017519,1354
clip_b32,0,Q4 (easiest),4,0.932802,0.936601,0.948469,0.974181,-0.015667,-0.003798,-0.041378,1355
clip_b32,1,Q1 (hardest),1,0.894449,0.915911,0.921486,0.922128,-0.027038,-0.021463,-0.027679,1355
clip_b32,1,Q2,1,0.915227,0.933364,0.9464,0.953355,-0.031173,-0.018137,-0.038128,1355
clip_b32,1,Q3,1,0.927966,0.94355,0.958831,0.968052,-0.030866,-0.015584,-0.040086,1354
clip_b32,1,Q4 (easiest),1,0.933925,0.947125,0.97499,0.985875,-0.041065,-0.0132,-0.05195,1355
clip_b32,1,Q1 (hardest),2,0.887217,0.904234,0.895865,0.895399,-0.008648,-0.017017,-0.008182,1355
clip_b32,1,Q2,2,0.912277,0.927629,0.927107,0.93714,-0.01483,-0.015352,-0.024864,1355
clip_b32,1,Q3,2,0.925054,0.938651,0.942749,0.955802,-0.017695,-0.013597,-0.030748,1354
clip_b32,1,Q4 (easiest),2,0.934106,0.944521,0.963229,0.980982,-0.029123,-0.010414,-0.046876,1355
clip_b32,1,Q1 (hardest),3,0.880497,0.89491,0.881299,0.879149,-0.000802,-0.014413,0.001348,1355
clip_b32,1,Q2,3,0.909093,0.921075,0.915183,0.924904,-0.00609,-0.011983,-0.015811,1355
clip_b32,1,Q3,3,0.922889,0.932405,0.931504,0.946858,-0.008615,-0.009517,-0.023969,1354
