copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed,source
,0.8464850112287117,vit_s16,1,4,dit_x0,,0,da8
,0.8393159047288854,vit_s16,2,4,dit_x0,,0,da8
,0.8333356828789887,vit_s16,3,4,dit_x0,,0,da8
,0.8264310040978141,vit_s16,4,4,dit_x0,,0,da8
,0.9138146481581733,vit_s16,1,4,mlp_residual,,0,da8
,0.8777271523469488,vit_s16,2,4,mlp_residual,,0,da8
,0.8538446139532562,vit_s16,3,4,mlp_residual,,0,da8
,0.8388296959034564,vit_s16,4,4,mlp_residual,,0,da8
0.922547,0.817237,vit_s16,1,8,dit_x0,4819,0,da9
0.892225,0.813304,vit_s16,2,8,dit_x0,4819,0,da9
0.871044,0.810381,vit_s16,3,8,dit_x0,4819,0,da9
0.855287,0.805553,vit_s16,4,8,dit_x0,4819,0,da9
0.842683,0.803098,vit_s16,5,8,dit_x0,4819,0,da9
0.832069,0.799502,vit_s16,6,8,dit_x0,4819,0,da9
0.822975,0.796632,vit_s16,7,8,dit_x0,4819,0,da9
0.814762,0.792061,vit_s16,8,8,dit_x0,4819,0,da9
0.922547,0.876731,vit_s16,1,8,mlp_fair,4819,0,da9
0.892225,0.866989,vit_s16,2,8,mlp_fair,4819,0,da9
0.871044,0.857877,vit_s16,3,8,mlp_fair,4819,0,da9
0.855287,0.850071,vit_s16,4,8,mlp_fair,4819,0,da9
0.842683,0.84344,vit_s16,5,8,mlp_fair,4819,0,da9
0.832069,0.837527,vit_s16,6,8,mlp_fair,4819,0,da9
0.822975,0.832603,vit_s16,7,8,mlp_fair,4819,0,da9
0.814762,0.82967,vit_s16,8,8,mlp_fair,4819,0,da9
0.922547,0.919477,vit_s16,1,8,mlp_residual,4819,0,da9
0.892225,0.886565,vit_s16,2,8,mlp_residual,4819,0,da9
0.871044,0.864302,vit_s16,3,8,mlp_residual,4819,0,da9
0.855287,0.850005,vit_s16,4,8,mlp_residual,4819,0,da9
0.842683,0.839485,vit_s16,5,8,mlp_residual,4819,0,da9
0.832069,0.830533,vit_s16,6,8,mlp_residual,4819,0,da9
0.822975,0.823609,vit_s16,7,8,mlp_residual,4819,0,da9
0.814762,0.819042,vit_s16,8,8,mlp_residual,4819,0,da9
,0.922547,vit_s16,1,8,copy,4819,0,da9
,0.892225,vit_s16,2,8,copy,4819,0,da9
,0.871044,vit_s16,3,8,copy,4819,0,da9
,0.855287,vit_s16,4,8,copy,4819,0,da9
,0.842683,vit_s16,5,8,copy,4819,0,da9
,0.832069,vit_s16,6,8,copy,4819,0,da9
,0.822975,vit_s16,7,8,copy,4819,0,da9
,0.814762,vit_s16,8,8,copy,4819,0,da9
0.922684,0.794196,vit_s16,1,16,dit_x0,3619,0,da9
0.892281,0.791871,vit_s16,2,16,dit_x0,3619,0,da9
0.870598,0.788635,vit_s16,3,16,dit_x0,3619,0,da9
0.85491,0.786873,vit_s16,4,16,dit_x0,3619,0,da9
0.842103,0.785348,vit_s16,5,16,dit_x0,3619,0,da9
0.831306,0.782865,vit_s16,6,16,dit_x0,3619,0,da9
0.822286,0.780556,vit_s16,7,16,dit_x0,3619,0,da9
0.814083,0.779634,vit_s16,8,16,dit_x0,3619,0,da9
0.807286,0.779589,vit_s16,9,16,dit_x0,3619,0,da9
0.801078,0.776555,vit_s16,10,16,dit_x0,3619,0,da9
0.795418,0.77555,vit_s16,11,16,dit_x0,3619,0,da9
0.790112,0.772572,vit_s16,12,16,dit_x0,3619,0,da9
0.785318,0.770143,vit_s16,13,16,dit_x0,3619,0,da9
0.781305,0.768811,vit_s16,14,16,dit_x0,3619,0,da9
0.777207,0.767116,vit_s16,15,16,dit_x0,3619,0,da9
0.773482,0.765036,vit_s16,16,16,dit_x0,3619,0,da9
0.922684,0.868118,vit_s16,1,16,mlp_fair,3619,0,da9
0.892281,0.859906,vit_s16,2,16,mlp_fair,3619,0,da9
0.870598,0.852414,vit_s16,3,16,mlp_fair,3619,0,da9
0.85491,0.845698,vit_s16,4,16,mlp_fair,3619,0,da9
0.842103,0.839297,vit_s16,5,16,mlp_fair,3619,0,da9
0.831306,0.834403,vit_s16,6,16,mlp_fair,3619,0,da9
0.822286,0.83081,vit_s16,7,16,mlp_fair,3619,0,da9
0.814083,0.827686,vit_s16,8,16,mlp_fair,3619,0,da9
0.807286,0.825451,vit_s16,9,16,mlp_fair,3619,0,da9
0.801078,0.823142,vit_s16,10,16,mlp_fair,3619,0,da9
0.795418,0.820511,vit_s16,11,16,mlp_fair,3619,0,da9
0.790112,0.818038,vit_s16,12,16,mlp_fair,3619,0,da9
0.785318,0.81508,vit_s16,13,16,mlp_fair,3619,0,da9
0.781305,0.812626,vit_s16,14,16,mlp_fair,3619,0,da9
0.777207,0.810097,vit_s16,15,16,mlp_fair,3619,0,da9
0.773482,0.809337,vit_s16,16,16,mlp_fair,3619,0,da9
0.922684,0.92079,vit_s16,1,16,mlp_residual,3619,0,da9
0.892281,0.888369,vit_s16,2,16,mlp_residual,3619,0,da9
0.870598,0.865033,vit_s16,3,16,mlp_residual,3619,0,da9
0.85491,0.849373,vit_s16,4,16,mlp_residual,3619,0,da9
0.842103,0.837308,vit_s16,5,16,mlp_residual,3619,0,da9
0.831306,0.828915,vit_s16,6,16,mlp_residual,3619,0,da9
0.822286,0.82195,vit_s16,7,16,mlp_residual,3619,0,da9
0.814083,0.816178,vit_s16,8,16,mlp_residual,3619,0,da9
0.807286,0.81211,vit_s16,9,16,mlp_residual,3619,0,da9
0.801078,0.808036,vit_s16,10,16,mlp_residual,3619,0,da9
0.795418,0.804084,vit_s16,11,16,mlp_residual,3619,0,da9
0.790112,0.799347,vit_s16,12,16,mlp_residual,3619,0,da9
0.785318,0.795152,vit_s16,13,16,mlp_residual,3619,0,da9
0.781305,0.791238,vit_s16,14,16,mlp_residual,3619,0,da9
0.777207,0.788535,vit_s16,15,16,mlp_residual,3619,0,da9
0.773482,0.786552,vit_s16,16,16,mlp_residual,3619,0,da9
,0.922684,vit_s16,1,16,copy,3619,0,da9
,0.892281,vit_s16,2,16,copy,3619,0,da9
,0.870598,vit_s16,3,16,copy,3619,0,da9
,0.85491,vit_s16,4,16,copy,3619,0,da9
,0.842103,vit_s16,5,16,copy,3619,0,da9
,0.831306,vit_s16,6,16,copy,3619,0,da9
,0.822286,vit_s16,7,16,copy,3619,0,da9
,0.814083,vit_s16,8,16,copy,3619,0,da9
,0.807286,vit_s16,9,16,copy,3619,0,da9
,0.801078,vit_s16,10,16,copy,3619,0,da9
,0.795418,vit_s16,11,16,copy,3619,0,da9
,0.790112,vit_s16,12,16,copy,3619,0,da9
,0.785318,vit_s16,13,16,copy,3619,0,da9
,0.781305,vit_s16,14,16,copy,3619,0,da9
,0.777207,vit_s16,15,16,copy,3619,0,da9
,0.773482,vit_s16,16,16,copy,3619,0,da9
,0.9201522893319602,clip_b32,1,4,dit_x0,,0,da8
,0.9169824617466467,clip_b32,2,4,dit_x0,,0,da8
,0.9141995925748452,clip_b32,3,4,dit_x0,,0,da8
,0.9120496020235244,clip_b32,4,4,dit_x0,,0,da8
,0.9510894398074194,clip_b32,1,4,mlp_residual,,0,da8
,0.9331697251748766,clip_b32,2,4,mlp_residual,,0,da8
,0.9215547963248163,clip_b32,3,4,mlp_residual,,0,da8
,0.9138174013010051,clip_b32,4,4,mlp_residual,,0,da8
0.958068,0.904761,clip_b32,1,8,dit_x0,4819,0,da9
0.943499,0.903108,clip_b32,2,8,dit_x0,4819,0,da9
0.933276,0.901201,clip_b32,3,8,dit_x0,4819,0,da9
0.925588,0.899888,clip_b32,4,8,dit_x0,4819,0,da9
0.919498,0.898681,clip_b32,5,8,dit_x0,4819,0,da9
0.91394,0.896804,clip_b32,6,8,dit_x0,4819,0,da9
0.908872,0.894977,clip_b32,7,8,dit_x0,4819,0,da9
0.904936,0.893944,clip_b32,8,8,dit_x0,4819,0,da9
0.957701,0.935631,clip_b32,1,8,mlp_fair,4819,0,da9
0.942948,0.930483,clip_b32,2,8,mlp_fair,4819,0,da9
0.932572,0.926139,clip_b32,3,8,mlp_fair,4819,0,da9
0.924708,0.922079,clip_b32,4,8,mlp_fair,4819,0,da9
0.918482,0.918487,clip_b32,5,8,mlp_fair,4819,0,da9
0.912815,0.91503,clip_b32,6,8,mlp_fair,4819,0,da9
0.907596,0.911894,clip_b32,7,8,mlp_fair,4819,0,da9
0.903603,0.910459,clip_b32,8,8,mlp_fair,4819,0,da9
0.957701,0.955993,clip_b32,1,8,mlp_residual,4819,0,da9
0.942948,0.939298,clip_b32,2,8,mlp_residual,4819,0,da9
0.932572,0.928378,clip_b32,3,8,mlp_residual,4819,0,da9
0.924708,0.920622,clip_b32,4,8,mlp_residual,4819,0,da9
0.918482,0.914885,clip_b32,5,8,mlp_residual,4819,0,da9
0.912815,0.909665,clip_b32,6,8,mlp_residual,4819,0,da9
0.907596,0.905549,clip_b32,7,8,mlp_residual,4819,0,da9
0.903603,0.903211,clip_b32,8,8,mlp_residual,4819,0,da9
,0.958068,clip_b32,1,8,copy,4819,0,da9
,0.943499,clip_b32,2,8,copy,4819,0,da9
,0.933276,clip_b32,3,8,copy,4819,0,da9
,0.925588,clip_b32,4,8,copy,4819,0,da9
,0.919498,clip_b32,5,8,copy,4819,0,da9
,0.91394,clip_b32,6,8,copy,4819,0,da9
,0.908872,clip_b32,7,8,copy,4819,0,da9
,0.904936,clip_b32,8,8,copy,4819,0,da9
0.958167,0.890905,clip_b32,1,16,dit_x0,3619,0,da9
0.943539,0.890143,clip_b32,2,16,dit_x0,3619,0,da9
0.933292,0.888195,clip_b32,3,16,dit_x0,3619,0,da9
0.925427,0.887583,clip_b32,4,16,dit_x0,3619,0,da9
0.919356,0.885901,clip_b32,5,16,dit_x0,3619,0,da9
0.913923,0.884717,clip_b32,6,16,dit_x0,3619,0,da9
0.908853,0.883668,clip_b32,7,16,dit_x0,3619,0,da9
0.905143,0.883565,clip_b32,8,16,dit_x0,3619,0,da9
0.901918,0.882686,clip_b32,9,16,dit_x0,3619,0,da9
0.898566,0.88162,clip_b32,10,16,dit_x0,3619,0,da9
0.895706,0.88111,clip_b32,11,16,dit_x0,3619,0,da9
0.892789,0.87938,clip_b32,12,16,dit_x0,3619,0,da9
0.890323,0.878474,clip_b32,13,16,dit_x0,3619,0,da9
0.887662,0.877741,clip_b32,14,16,dit_x0,3619,0,da9
0.885429,0.876806,clip_b32,15,16,dit_x0,3619,0,da9
0.883373,0.876088,clip_b32,16,16,dit_x0,3619,0,da9
