model,encoder,k,cossim_conditioned_mean,cossim_conditioned_std,cossim_unconditioned_mean,cossim_unconditioned_std,delta_cossim_mean,delta_cossim_std,n_seeds,n_test_windows,source
dit,clip_b32,1,0.6213091295,0.0069654686,0.6188727348,0.0043101643,0.0024363947,0.0048541624,3,5419,rollout_results.json
dit,clip_b32,2,0.6156827461,0.0067195713,0.6154392482,0.0056264064,0.0002434979,0.0030081554,3,5419,rollout_results.json
dit,clip_b32,3,0.6132004957,0.0057421657,0.6122891787,0.0088568252,0.0009113170,0.0039255008,3,5419,rollout_results.json
dit,clip_b32,4,0.6076701643,0.0058186364,0.6088434354,0.0050262048,-0.0011732711,0.0020251557,3,5419,rollout_results.json
dit,dino_vits14,1,0.4479809935,0.0042842687,0.4452966813,0.0023621801,0.0026843121,0.0045087324,3,5419,rollout_results.json
dit,dino_vits14,2,0.4367585472,0.0050784644,0.4341206827,0.0057190290,0.0026378644,0.0017501821,3,5419,rollout_results.json
dit,dino_vits14,3,0.4295982232,0.0035726359,0.4278139163,0.0034279575,0.0017843070,0.0066950287,3,5419,rollout_results.json
dit,dino_vits14,4,0.4216930508,0.0017033589,0.4180569663,0.0028258404,0.0036360845,0.0028288179,3,5419,rollout_results.json
dit,vit_s16,1,0.5034544343,0.0047837816,0.4789926123,0.0307180172,0.0244618220,0.0349967628,3,5419,rollout_results.json
dit,vit_s16,2,0.4948189850,0.0077443557,0.4741022778,0.0289104677,0.0207167072,0.0366474902,3,5419,rollout_results.json
dit,vit_s16,3,0.4861514898,0.0046855221,0.4673530663,0.0321579838,0.0187984235,0.0365687006,3,5419,rollout_results.json
dit,vit_s16,4,0.4808715760,0.0039337715,0.4613037254,0.0284978308,0.0195678506,0.0323219630,3,5419,rollout_results.json
dit,vjepa2_rep1,1,0.7517992733,0.0126399746,0.7469512578,0.0138208989,0.0048480155,0.0028031581,3,5419,rollout_results.json
dit,vjepa2_rep1,2,0.7490741205,0.0089012126,0.7440226845,0.0110760511,0.0050514360,0.0024447934,3,5419,rollout_results.json
dit,vjepa2_rep1,3,0.7482797092,0.0099902532,0.7437289623,0.0117360850,0.0045507468,0.0019836054,3,5419,rollout_results.json
dit,vjepa2_rep1,4,0.7463937846,0.0118096651,0.7420566191,0.0123711035,0.0043371655,0.0037299454,3,5419,rollout_results.json
dit,vjepa2_rep64,1,0.7344771096,0.0337351014,0.7552250332,0.0008089673,-0.0207479236,0.0345369115,3,5419,rollout_results.json
dit,vjepa2_rep64,2,0.7341413755,0.0322445069,0.7541597432,0.0028353206,-0.0200183676,0.0348077701,3,5419,rollout_results.json
dit,vjepa2_rep64,3,0.7322478270,0.0333828241,0.7523617755,0.0040793588,-0.0201139485,0.0364526000,3,5419,rollout_results.json
dit,vjepa2_rep64,4,0.7294992185,0.0329348889,0.7480694820,0.0022091377,-0.0185702634,0.0332074083,3,5419,rollout_results.json
dit,vq_track,1,0.5013050654,0.0049875133,0.5145874142,0.0097427489,-0.0132823488,0.0049099144,3,5419,rollout_results.json
dit,vq_track,2,0.4960419611,0.0036594140,0.5090515307,0.0077733182,-0.0130095696,0.0047605557,3,5419,rollout_results.json
dit,vq_track,3,0.4986024286,0.0098288185,0.5115973446,0.0140676210,-0.0129949161,0.0042683358,3,5419,rollout_results.json
dit,vq_track,4,0.4968651013,0.0124003854,0.5097410507,0.0171333736,-0.0128759493,0.0050291270,3,5419,rollout_results.json
mlp,clip_b32,1,0.9358048238,0.0007261844,0.9391537584,0.0003807214,-0.0033489346,0.0003822075,3,5419,mlp_rollout_results.json
mlp,clip_b32,2,0.9297169314,0.0008346948,0.9320769250,0.0004020348,-0.0023599937,0.0004371207,3,5419,mlp_rollout_results.json
mlp,clip_b32,3,0.9232658562,0.0010245036,0.9255672778,0.0005355741,-0.0023014216,0.0004984371,3,5419,mlp_rollout_results.json
mlp,clip_b32,4,0.9177587004,0.0011410728,0.9209394296,0.0007472060,-0.0031807292,0.0004175486,3,5419,mlp_rollout_results.json
mlp,dino_vits14,1,0.8670222570,0.0002767986,0.8712069428,0.0010869926,-0.0041846858,0.0009196177,3,5419,mlp_rollout_results.json
mlp,dino_vits14,2,0.8515076974,0.0001137946,0.8545078175,0.0012518918,-0.0030001201,0.0013641756,3,5419,mlp_rollout_results.json
mlp,dino_vits14,3,0.8350548933,0.0002550623,0.8382218762,0.0012957030,-0.0031669829,0.0011529340,3,5419,mlp_rollout_results.json
mlp,dino_vits14,4,0.8211664797,0.0004424345,0.8249938570,0.0015703655,-0.0038273773,0.0012841299,3,5419,mlp_rollout_results.json
mlp,vit_s16,1,0.8807397619,0.0001682120,0.8858701576,0.0003360574,-0.0051303957,0.0001960541,3,5419,mlp_rollout_results.json
mlp,vit_s16,2,0.8685787628,0.0001089938,0.8724472819,0.0003387451,-0.0038685191,0.0003480107,3,5419,mlp_rollout_results.json
mlp,vit_s16,3,0.8558552574,0.0002665413,0.8598387071,0.0004731633,-0.0039834497,0.0007192857,3,5419,mlp_rollout_results.json
mlp,vit_s16,4,0.8459295716,0.0006874016,0.8508394003,0.0005308393,-0.0049098286,0.0010816600,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,1,0.9831615370,0.0004955088,0.9833299177,0.0005624483,-0.0001683807,0.0000977273,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,2,0.9787207171,0.0004456825,0.9784696579,0.0007169423,0.0002510593,0.0002929630,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,3,0.9746149322,0.0006927349,0.9737059004,0.0008544532,0.0009090318,0.0001797286,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,4,0.9707802986,0.0007391263,0.9697794584,0.0009938595,0.0010008403,0.0004750583,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,1,0.9875461212,0.0002567897,0.9877034410,0.0001780524,-0.0001573198,0.0001088580,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,2,0.9840608428,0.0003060306,0.9836530806,0.0002405562,0.0004077622,0.0000715760,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,3,0.9797848177,0.0003091151,0.9789552348,0.0002870440,0.0008295830,0.0000248300,3,5419,mlp_rollout_results.json
