model,encoder,variant,horizon,cossim_mean,cossim_std_seed,mse_mean,mse_std_seed,n_seeds,n_test_windows,source
dit,clip_b32,conditioned,1,0.6213091295158657,0.006965468615256686,0.34975662742981267,0.006481784441400543,3,5419,rollout_results.json
dit,clip_b32,conditioned,2,0.6156827461208417,0.006719571338483545,0.3550024426803969,0.0038970726525952436,3,5419,rollout_results.json
dit,clip_b32,conditioned,3,0.6132004957192644,0.005742165713927425,0.3573698377729511,0.002980546746811498,3,5419,rollout_results.json
dit,clip_b32,conditioned,4,0.607670164345859,0.005818636374105144,0.36451585763435107,0.0003152269151633755,3,5419,rollout_results.json
dit,clip_b32,unconditioned,1,0.6188727347930141,0.004310164282583294,0.3617041849991767,0.002325345340188497,3,5419,rollout_results.json
dit,clip_b32,unconditioned,2,0.6154392482008801,0.005626406376544904,0.36027146224614226,0.006473390927473944,3,5419,rollout_results.json
dit,clip_b32,unconditioned,3,0.6122891786918727,0.008856825176392705,0.36262628769180894,0.011471570690531402,3,5419,rollout_results.json
dit,clip_b32,unconditioned,4,0.6088434354166501,0.0050262048256221594,0.367534022610764,0.004888273934236652,3,5419,rollout_results.json
mlp,clip_b32,conditioned,1,0.9358048238107227,0.0007261843633250528,0.026034044480275395,2.7633791935700148e-05,3,5419,mlp_rollout_results.json
mlp,clip_b32,conditioned,2,0.9297169313854915,0.0008346948016838311,0.028442709231982336,5.540051656352109e-06,3,5419,mlp_rollout_results.json
mlp,clip_b32,conditioned,3,0.9232658561748311,0.0010245036239466816,0.031017414544013956,4.326991283719168e-05,3,5419,mlp_rollout_results.json
mlp,clip_b32,conditioned,4,0.9177587004306829,0.001141072816205766,0.03320741470122444,0.00010750530025735225,3,5419,mlp_rollout_results.json
mlp,clip_b32,unconditioned,1,0.9391537584369455,0.0003807213643534394,0.02464654651406492,0.0001363393264940373,3,5419,mlp_rollout_results.json
mlp,clip_b32,unconditioned,2,0.9320769250455242,0.00040203479679822647,0.027456876748659858,0.00015144139005844384,3,5419,mlp_rollout_results.json
mlp,clip_b32,unconditioned,3,0.9255672777946375,0.0005355741369492665,0.030041986273804108,0.0001635173452802166,3,5419,mlp_rollout_results.json
mlp,clip_b32,unconditioned,4,0.9209394295981005,0.0007472060439333064,0.03186215333351388,0.00016705000347788188,3,5419,mlp_rollout_results.json
dit_direct,clip_b32,conditioned,1,0.9414403215797726,0.000571658802442885,0.024118541732605525,0.00043974823240129683,3,5419,dit_direct_rollout_results.json
dit_direct,clip_b32,conditioned,2,0.9307513502446781,0.00047333847225076216,0.028428103281884512,0.0004535339251484572,3,5419,dit_direct_rollout_results.json
dit_direct,clip_b32,conditioned,3,0.9223836197318968,0.00016457053516412315,0.031780021271450735,0.0003752161845630774,3,5419,dit_direct_rollout_results.json
dit_direct,clip_b32,conditioned,4,0.9160275510619135,0.00025582467677611826,0.034313930043759454,0.0003912785055793912,3,5419,dit_direct_rollout_results.json
copy_baseline,clip_b32,none,1,0.9579318763952073,0.0,,,3,5419,rollout_results.json
copy_baseline,clip_b32,none,2,0.9430919245262167,0.0,,,3,5419,rollout_results.json
copy_baseline,clip_b32,none,3,0.9329132300179376,0.0,,,3,5419,rollout_results.json
copy_baseline,clip_b32,none,4,0.9251861642660483,0.0,,,3,5419,rollout_results.json
dit,dino_vits14,conditioned,1,0.44798099348639964,0.004284268675079562,21.608561212934234,0.3360627805811154,3,5419,rollout_results.json
dit,dino_vits14,conditioned,2,0.43675854716887885,0.005078464370174412,22.02397121690608,0.5112565651372676,3,5419,rollout_results.json
dit,dino_vits14,conditioned,3,0.42959822324865554,0.0035726359081044144,22.035501691639084,0.5145855578252612,3,5419,rollout_results.json
dit,dino_vits14,conditioned,4,0.42169305076676555,0.0017033589001392282,22.225633573229988,0.19247466358962317,3,5419,rollout_results.json
dit,dino_vits14,unconditioned,1,0.44529668133718,0.002362180148639538,21.770844281141393,0.2767510388545497,3,5419,rollout_results.json
dit,dino_vits14,unconditioned,2,0.4341206827191268,0.005719029044337038,22.21798805358365,0.2941659591285457,3,5419,rollout_results.json
dit,dino_vits14,unconditioned,3,0.427813916260036,0.0034279575156084536,22.08092919693608,0.4588632085118831,3,5419,rollout_results.json
dit,dino_vits14,unconditioned,4,0.4180569662528335,0.0028258403819899887,22.735258472341965,0.49319824104216853,3,5419,rollout_results.json
mlp,dino_vits14,conditioned,1,0.8670222569913993,0.0002767985753147901,1.4337298495380715,0.002096128648053259,3,5419,mlp_rollout_results.json
mlp,dino_vits14,conditioned,2,0.8515076973696818,0.00011379459579926449,1.5901948354293658,0.001241369091202465,3,5419,mlp_rollout_results.json
mlp,dino_vits14,conditioned,3,0.8350548932801213,0.00025506229913831884,1.755397873830552,0.0021124678444706855,3,5419,mlp_rollout_results.json
mlp,dino_vits14,conditioned,4,0.8211664797129458,0.00044243450896136135,1.892528328147917,0.003928207580216371,3,5419,mlp_rollout_results.json
mlp,dino_vits14,unconditioned,1,0.8712069428171656,0.001086992593772979,1.3890775309913073,0.01144197487426976,3,5419,mlp_rollout_results.json
mlp,dino_vits14,unconditioned,2,0.8545078175046049,0.0012518917741003827,1.5549168173454486,0.012846021836285948,3,5419,mlp_rollout_results.json
mlp,dino_vits14,unconditioned,3,0.8382218762092898,0.0012957029904205677,1.716639862088705,0.013108101761055752,3,5419,mlp_rollout_results.json
mlp,dino_vits14,unconditioned,4,0.8249938569693956,0.0015703654941565993,1.846519529346523,0.015628906713149624,3,5419,mlp_rollout_results.json
dit_direct,dino_vits14,conditioned,1,0.8877557014314686,0.0004116385025482361,1.2270582060301487,0.004641616539363462,3,5419,dit_direct_rollout_results.json
dit_direct,dino_vits14,conditioned,2,0.8602234879755524,0.0003123451919255089,1.5109546199352046,0.004395085646818117,3,5419,dit_direct_rollout_results.json
dit_direct,dino_vits14,conditioned,3,0.8352631491884986,0.0006987661137670159,1.7681017402441963,0.008453180025471966,3,5419,dit_direct_rollout_results.json
dit_direct,dino_vits14,conditioned,4,0.8143638204426873,0.001078663473953194,1.9807138784994842,0.011217805995744795,3,5419,dit_direct_rollout_results.json
copy_baseline,dino_vits14,none,1,0.9323425363363608,0.0,,,3,5419,rollout_results.json
copy_baseline,dino_vits14,none,2,0.8994164531093216,0.0,,,3,5419,rollout_results.json
copy_baseline,dino_vits14,none,3,0.8737352332146675,0.0,,,3,5419,rollout_results.json
copy_baseline,dino_vits14,none,4,0.852959740049704,0.0,,,3,5419,rollout_results.json
dit,vit_s16,conditioned,1,0.5034544343415123,0.004783781619457468,17.29038583694836,0.40667567936074955,3,5419,rollout_results.json
dit,vit_s16,conditioned,2,0.49481898503322,0.007744355657960701,17.41955790918912,0.7094620837486884,3,5419,rollout_results.json
dit,vit_s16,conditioned,3,0.48615148975714667,0.004685522115372202,17.707768349847857,0.4125502333690882,3,5419,rollout_results.json
dit,vit_s16,conditioned,4,0.4808715760007573,0.003933771477731324,17.74174658040935,0.4683146130300362,3,5419,rollout_results.json
dit,vit_s16,unconditioned,1,0.4789926123338966,0.03071801720391852,19.09906933945161,1.9248716461592172,3,5419,rollout_results.json
dit,vit_s16,unconditioned,2,0.47410227779152136,0.028910467685796727,18.984291832700915,1.8950169991871968,3,5419,rollout_results.json
dit,vit_s16,unconditioned,3,0.4673530662852459,0.0321579838288305,19.31628448379328,2.189468551199297,3,5419,rollout_results.json
dit,vit_s16,unconditioned,4,0.4613037253684455,0.028497830815343843,19.38719229526007,1.9842804794502267,3,5419,rollout_results.json
mlp,vit_s16,conditioned,1,0.8807397619372855,0.00016821196229620968,1.4521760426082684,0.001817861572358136,3,5419,mlp_rollout_results.json
mlp,vit_s16,conditioned,2,0.8685787628224513,0.00010899377961534283,1.5944107040646494,0.0012685416649749785,3,5419,mlp_rollout_results.json
mlp,vit_s16,conditioned,3,0.8558552574171324,0.00026654129974703787,1.7433419085343826,0.002610470219729036,3,5419,mlp_rollout_results.json
mlp,vit_s16,conditioned,4,0.8459295716432068,0.0006874016279633242,1.8592289109625133,0.007008374348446828,3,5419,mlp_rollout_results.json
mlp,vit_s16,unconditioned,1,0.8858701576054108,0.00033605736312613784,1.3878875786860563,0.0031245883825049775,3,5419,mlp_rollout_results.json
mlp,vit_s16,unconditioned,2,0.872447281883396,0.0003387450732507141,1.5440988694931475,0.002790170131692528,3,5419,mlp_rollout_results.json
mlp,vit_s16,unconditioned,3,0.8598387071095966,0.00047316332072136274,1.6920671985694504,0.004450283707689896,3,5419,mlp_rollout_results.json
mlp,vit_s16,unconditioned,4,0.8508394002811769,0.0005308393274730478,1.7965128592930943,0.004103177172936816,3,5419,mlp_rollout_results.json
dit_direct,vit_s16,conditioned,1,0.8910430743479161,0.00016230842434949855,1.3391449186732542,0.0027090399689327525,3,5419,dit_direct_rollout_results.json
dit_direct,vit_s16,conditioned,2,0.869142131919225,0.00023098405365466694,1.5980544028382184,0.003315880609324919,3,5419,dit_direct_rollout_results.json
dit_direct,vit_s16,conditioned,3,0.8515473498536658,0.0005395629863872723,1.8061359539502455,0.007412516837398491,3,5419,dit_direct_rollout_results.json
dit_direct,vit_s16,conditioned,4,0.8383002336624914,0.0011771974758182167,1.9602656885656167,0.015688844963614477,3,5419,dit_direct_rollout_results.json
copy_baseline,vit_s16,none,1,0.9226523645324388,0.0,,,3,5419,rollout_results.json
copy_baseline,vit_s16,none,2,0.8925989783029462,0.0,,,3,5419,rollout_results.json
