encoder,variant,quartile,horizon,mlp_cossim_mean,copy_cossim_mean,mlp_minus_copy,n_windows
clip_b32,conditioned,Q1 (hardest),1,0.916367,0.922216,-0.005849,1355
clip_b32,conditioned,Q2,1,0.934272,0.953523,-0.019252,1355
clip_b32,conditioned,Q3,1,0.944562,0.968129,-0.023567,1354
clip_b32,conditioned,Q4 (easiest),1,0.948026,0.986069,-0.038044,1355
clip_b32,conditioned,Q1 (hardest),2,0.913508,0.908085,0.005423,1355
clip_b32,conditioned,Q2,2,0.926438,0.93517,-0.008732,1355
clip_b32,conditioned,Q3,2,0.936057,0.949758,-0.013701,1354
clip_b32,conditioned,Q4 (easiest),2,0.94287,0.976975,-0.034105,1355
clip_b32,conditioned,Q1 (hardest),3,0.907858,0.896899,0.010959,1355
clip_b32,conditioned,Q2,3,0.919658,0.92282,-0.003162,1355
clip_b32,conditioned,Q3,3,0.929552,0.938856,-0.009304,1354
clip_b32,conditioned,Q4 (easiest),3,0.936,0.970129,-0.034129,1355
clip_b32,conditioned,Q1 (hardest),4,0.903906,0.888474,0.015432,1355
clip_b32,conditioned,Q2,4,0.913561,0.914333,-0.000772,1355
clip_b32,conditioned,Q3,4,0.923235,0.929557,-0.006322,1354
clip_b32,conditioned,Q4 (easiest),4,0.930337,0.964951,-0.034614,1355
clip_b32,unconditioned,Q1 (hardest),1,0.921194,0.922216,-0.001021,1355
clip_b32,unconditioned,Q2,1,0.938006,0.953523,-0.015517,1355
clip_b32,unconditioned,Q3,1,0.947756,0.968129,-0.020373,1354
clip_b32,unconditioned,Q4 (easiest),1,0.949665,0.986069,-0.036404,1355
clip_b32,unconditioned,Q1 (hardest),2,0.917491,0.908085,0.009406,1355
clip_b32,unconditioned,Q2,2,0.929356,0.93517,-0.005813,1355
clip_b32,unconditioned,Q3,2,0.938419,0.949758,-0.011339,1354
clip_b32,unconditioned,Q4 (easiest),2,0.943046,0.976975,-0.033929,1355
clip_b32,unconditioned,Q1 (hardest),3,0.911803,0.896899,0.014904,1355
clip_b32,unconditioned,Q2,3,0.922506,0.92282,-0.000314,1355
clip_b32,unconditioned,Q3,3,0.93184,0.938856,-0.007016,1354
clip_b32,unconditioned,Q4 (easiest),3,0.936125,0.970129,-0.034004,1355
clip_b32,unconditioned,Q1 (hardest),4,0.908271,0.888474,0.019797,1355
clip_b32,unconditioned,Q2,4,0.917462,0.914333,0.003129,1355
clip_b32,unconditioned,Q3,4,0.926581,0.929557,-0.002976,1354
