encoder,policy,scene_name,scenario,n,steer_rmse,accel_rmse
vit_s16,original,scene-0003,urban,40,0.05577505598467247,0.07320121359879792
vit_s16,original,scene-0013,urban,40,0.04840191622088552,0.04848908188321797
vit_s16,original,scene-0017,intersection,40,0.05970963822078492,0.07696517279470955
vit_s16,original,scene-0092,urban,40,0.05438928312746832,0.03647229399493126
vit_s16,original,scene-0096,intersection,39,0.04503301526381182,0.07460288660869875
vit_s16,original,scene-0098,urban,39,0.02228514548956296,0.035938517765377986
vit_s16,original,scene-0103,urban,40,0.04310946879136442,0.12754800944122532
vit_s16,original,scene-0106,intersection,40,0.043912928591946364,0.055901189100876054
vit_s16,original,scene-0107,intersection,40,0.028624125607856408,0.059937924350831555
vit_s16,original,scene-0110,urban,40,0.03387223435002187,0.027476280716613646
vit_s16,original,scene-0269,urban,40,0.1777153837204102,0.04878564112714914
vit_s16,original,scene-0271,urban,39,0.13007837122955188,0.10032359001159602
vit_s16,original,scene-0273,urban,39,0.05145470401391838,0.0833857974044441
vit_s16,original,scene-0276,intersection,40,0.10985022445114,0.1007087244914103
vit_s16,original,scene-0346,intersection,40,0.07948127834661338,0.07493812734102161
vit_s16,original,scene-0521,intersection,40,0.030581011536718838,0.05923804497333124
vit_s16,original,scene-0556,intersection,40,0.3295590959830655,0.07243235612470897
vit_s16,original,scene-0561,intersection,40,0.1992677565247991,0.04126120489438454
vit_s16,original,scene-0635,urban,40,0.0414059326460254,0.03041275450998573
vit_s16,original,scene-0638,intersection,41,0.23650967363731906,0.05693171431993186
vit_s16,original,scene-0770,urban,40,0.07340072282499217,0.05121171508492473
vit_s16,original,scene-0771,urban,41,0.05920998196678452,0.051277736250451
vit_s16,original,scene-0777,urban,40,0.05905151280931816,0.05366786374554279
vit_s16,original,scene-0796,intersection,40,0.02366660649744672,0.054926767986437135
vit_s16,original,scene-0904,intersection,41,0.07429416765006794,0.06716797257821547
vit_s16,original,scene-0905,intersection,40,0.050696831618849504,0.04530765848299801
vit_s16,original,scene-0906,intersection,41,0.08182917123585579,0.05959023587153013
vit_s16,original,scene-0913,urban,40,0.03638756859656606,0.046301893067235214
vit_s16,original,scene-0914,intersection,41,0.15082680698162507,0.07449369275832937
vit_s16,original,scene-0919,urban,39,0.29088385496123853,0.0830992529806974
vit_s16,left,scene-0003,urban,40,0.07879601700316874,0.08017572528642562
vit_s16,left,scene-0013,urban,40,0.050408579721986924,0.05746151382509184
vit_s16,left,scene-0017,intersection,40,0.06824946213496719,0.06501272048263855
vit_s16,left,scene-0092,urban,40,0.06585101088493557,0.0441349644361843
vit_s16,left,scene-0096,intersection,39,0.06862686801032625,0.08573301059122226
vit_s16,left,scene-0098,urban,39,0.02860060082920105,0.04755705996253322
vit_s16,left,scene-0103,urban,40,0.06298069413433986,0.11069095139426799
vit_s16,left,scene-0106,intersection,40,0.06108339556141238,0.05775331695765849
vit_s16,left,scene-0107,intersection,40,0.03806821320737901,0.06282576440576872
vit_s16,left,scene-0110,urban,40,0.057424886617448295,0.05074105428290045
vit_s16,left,scene-0269,urban,40,0.18936065280718353,0.06667831815115378
vit_s16,left,scene-0271,urban,39,0.13968831454950464,0.1047320754226444
vit_s16,left,scene-0273,urban,39,0.052197497252773416,0.07219749059063557
vit_s16,left,scene-0276,intersection,40,0.10893420767416687,0.10392068110959464
vit_s16,left,scene-0346,intersection,40,0.07612608531406469,0.08335147181315461
vit_s16,left,scene-0521,intersection,40,0.056062690448135354,0.06411084198061469
vit_s16,left,scene-0556,intersection,40,0.33851798197580596,0.06999294072066144
vit_s16,left,scene-0561,intersection,40,0.20253202806944826,0.05245929461463002
vit_s16,left,scene-0635,urban,40,0.03932603569158008,0.07107293114128989
vit_s16,left,scene-0638,intersection,41,0.2587352933477339,0.07730752790602421
vit_s16,left,scene-0770,urban,40,0.06660096926362824,0.031068933043077496
vit_s16,left,scene-0771,urban,41,0.07861951151332566,0.026092816166112837
vit_s16,left,scene-0777,urban,40,0.06220997973694338,0.020557535588329817
vit_s16,left,scene-0796,intersection,40,0.04264282465796309,0.054472417318409225
vit_s16,left,scene-0904,intersection,41,0.05412908275000173,0.10352150865361162
vit_s16,left,scene-0905,intersection,40,0.09289464524419794,0.09438190512438091
vit_s16,left,scene-0906,intersection,41,0.09886193926926773,0.06277494686054907
vit_s16,left,scene-0913,urban,40,0.06573456656921482,0.07710813898942023
vit_s16,left,scene-0914,intersection,41,0.1767035483053971,0.07582801662633827
vit_s16,left,scene-0919,urban,39,0.29827288750348135,0.0860392971032675
vit_s16,right,scene-0003,urban,40,0.07614723300949013,0.0748039819217981
vit_s16,right,scene-0013,urban,40,0.05903951913928618,0.07873424575911014
vit_s16,right,scene-0017,intersection,40,0.0911504114935331,0.09019637664672642
vit_s16,right,scene-0092,urban,40,0.06388419014696654,0.05329122617686177
vit_s16,right,scene-0096,intersection,39,0.05830645084650032,0.0937578738346197
vit_s16,right,scene-0098,urban,39,0.03316976287608677,0.04948396244781965
vit_s16,right,scene-0103,urban,40,0.07130778445682469,0.12538298597706687
vit_s16,right,scene-0106,intersection,40,0.05681057385328124,0.05300033027422673
vit_s16,right,scene-0107,intersection,40,0.046672535527865266,0.054407396346553664
vit_s16,right,scene-0110,urban,40,0.05985857323049473,0.04623834389011532
vit_s16,right,scene-0269,urban,40,0.18987639758325842,0.06878110755404353
vit_s16,right,scene-0271,urban,39,0.11279979690411863,0.10410129895935587
vit_s16,right,scene-0273,urban,39,0.06650181106523557,0.08079941920480255
vit_s16,right,scene-0276,intersection,40,0.09965686604408498,0.09981946126962431
vit_s16,right,scene-0346,intersection,40,0.09595952504928817,0.08311548142183732
vit_s16,right,scene-0521,intersection,40,0.06053052235915181,0.06211485099778268
vit_s16,right,scene-0556,intersection,40,0.3320941439674963,0.06574012500669506
vit_s16,right,scene-0561,intersection,40,0.22049749079898404,0.05054577653966975
vit_s16,right,scene-0635,urban,40,0.1483251416757243,0.08358668521567977
vit_s16,right,scene-0638,intersection,41,0.2738417454434962,0.09449828195465984
vit_s16,right,scene-0770,urban,40,0.060630204103635725,0.035915452064783956
vit_s16,right,scene-0771,urban,41,0.037798365485456266,0.018898734060210694
vit_s16,right,scene-0777,urban,40,0.0609438561116509,0.014745521827491042
vit_s16,right,scene-0796,intersection,40,0.040656001505408296,0.06553441871586767
vit_s16,right,scene-0904,intersection,41,0.05625665825745027,0.07854381722088652
vit_s16,right,scene-0905,intersection,40,0.08282262685773131,0.06840376952608568
vit_s16,right,scene-0906,intersection,41,0.10413019635219606,0.04744698974549482
vit_s16,right,scene-0913,urban,40,0.09067859730418058,0.08833143887436472
vit_s16,right,scene-0914,intersection,41,0.1918004139826198,0.07223958050665637
vit_s16,right,scene-0919,urban,39,0.3009133977254789,0.09745902170586991
vit_s16,lead,scene-0003,urban,40,0.09627436971281599,0.08328421014858761
vit_s16,lead,scene-0013,urban,40,0.05276044692863244,0.05767163337052086
vit_s16,lead,scene-0017,intersection,40,0.06567979382794668,0.0773321647657643
vit_s16,lead,scene-0092,urban,40,0.0839310043579374,0.04742137551399521
vit_s16,lead,scene-0096,intersection,39,0.04242772892635096,0.07586775805047202
vit_s16,lead,scene-0098,urban,39,0.029749407865538785,0.03926750536568642
vit_s16,lead,scene-0103,urban,40,0.06367056904442861,0.12182426767172078
vit_s16,lead,scene-0106,intersection,40,0.05448506642729976,0.0536400493774733
vit_s16,lead,scene-0107,intersection,40,0.06338879802733312,0.053860290777044594
vit_s16,lead,scene-0110,urban,40,0.08583597073060771,0.051872263297989336
vit_s16,lead,scene-0269,urban,40,0.1958651277686293,0.05390344372139541
vit_s16,lead,scene-0271,urban,39,0.12382643543505552,0.09004459495652842
vit_s16,lead,scene-0273,urban,39,0.0631655410727811,0.08561365108748238
vit_s16,lead,scene-0276,intersection,40,0.10812849826801049,0.10245657966672155
vit_s16,lead,scene-0346,intersection,40,0.08133588320902817,0.07276294408215085
vit_s16,lead,scene-0521,intersection,40,0.03735798009887407,0.056887694629516775
vit_s16,lead,scene-0556,intersection,40,0.36784368038887716,0.09175605337556607
vit_s16,lead,scene-0561,intersection,40,0.18388363488454734,0.05908414217755202
vit_s16,lead,scene-0635,urban,40,0.03164805971694876,0.059437819417480005
vit_s16,lead,scene-0638,intersection,41,0.2712823787472928,0.07995783870378906
vit_s16,lead,scene-0770,urban,40,0.10080917248566275,0.055216313799994955
vit_s16,lead,scene-0771,urban,41,0.07569820317164229,0.05634920221402662
vit_s16,lead,scene-0777,urban,40,0.09400946448400946,0.04212872843571361
vit_s16,lead,scene-0796,intersection,40,0.040257662451163724,0.068865737181059
vit_s16,lead,scene-0904,intersection,41,0.08351154969956251,0.08221728158941237
vit_s16,lead,scene-0905,intersection,40,0.09293689298698228,0.0706684603686127
vit_s16,lead,scene-0906,intersection,41,0.07974305968709243,0.06129048367402578
vit_s16,lead,scene-0913,urban,40,0.05849562833614696,0.044745312648102005
vit_s16,lead,scene-0914,intersection,41,0.22016446498295633,0.10364030823243696
vit_s16,lead,scene-0919,urban,39,0.29495436477621656,0.09239203540385375
clip_b32,original,scene-0003,urban,40,0.0862311340594128,0.0609255848210686
clip_b32,original,scene-0013,urban,40,0.05610521944315039,0.036868306402703596
clip_b32,original,scene-0017,intersection,40,0.09005140770367398,0.06903418364687056
clip_b32,original,scene-0092,urban,40,0.03929009920262104,0.027157115184625984
clip_b32,original,scene-0096,intersection,39,0.03666215177170244,0.08326578123750039
clip_b32,original,scene-0098,urban,39,0.0255513815952656,0.03568189078879571
clip_b32,original,scene-0103,urban,40,0.02735840628310458,0.11764419136321677
clip_b32,original,scene-0106,intersection,40,0.03748533244926443,0.05497321883314561
clip_b32,original,scene-0107,intersection,40,0.06265788875385557,0.0520654021315436
clip_b32,original,scene-0110,urban,40,0.0343078002436813,0.028640359558911366
clip_b32,original,scene-0269,urban,40,0.1696715662382497,0.042076018837830347
clip_b32,original,scene-0271,urban,39,0.15282818836787507,0.08696368882196315
clip_b32,original,scene-0273,urban,39,0.06557332705842553,0.07963489084465958
clip_b32,original,scene-0276,intersection,40,0.094199601696335,0.08713395442296903
clip_b32,original,scene-0346,intersection,40,0.03354880275699637,0.06771542581020142
clip_b32,original,scene-0521,intersection,40,0.052526716837311443,0.06559994696936865
clip_b32,original,scene-0556,intersection,40,0.3139837443892757,0.07053196692587434
clip_b32,original,scene-0561,intersection,40,0.17103685628855667,0.03907129105363472
clip_b32,original,scene-0635,urban,40,0.05783469904058095,0.026836402589215748
clip_b32,original,scene-0638,intersection,41,0.22093570697349788,0.06205581542070603
clip_b32,original,scene-0770,urban,40,0.0280669082699169,0.04448619979406126
clip_b32,original,scene-0771,urban,41,0.028036137529795443,0.04252844576655329
clip_b32,original,scene-0777,urban,40,0.014613382805861974,0.03286963629182336
clip_b32,original,scene-0796,intersection,40,0.05077683202669527,0.04666037263424074
clip_b32,original,scene-0904,intersection,41,0.04901881860813549,0.03518763448144121
clip_b32,original,scene-0905,intersection,40,0.03836661134503642,0.029093506560217326
clip_b32,original,scene-0906,intersection,41,0.09303340064957642,0.05432199027309999
clip_b32,original,scene-0913,urban,40,0.06005758751740673,0.027667083995526566
clip_b32,original,scene-0914,intersection,41,0.16247782204904693,0.07172806866778632
clip_b32,original,scene-0919,urban,39,0.25881795055662066,0.08073952524059366
clip_b32,left,scene-0003,urban,40,0.07454420496924934,0.061768995545532425
clip_b32,left,scene-0013,urban,40,0.0693373867438059,0.05508501638540135
clip_b32,left,scene-0017,intersection,40,0.0872754200965543,0.060187234919472206
clip_b32,left,scene-0092,urban,40,0.022341662559842587,0.02444894202157176
clip_b32,left,scene-0096,intersection,39,0.030891735416650384,0.08556035432134906
