encoder,policy,steer_rmse,accel_rmse,delta_steer,delta_accel
vit_s16,original,0.1201108917593956,0.06606124341487885,0.0,0.0
vit_s16,left,0.12921279668807983,0.07218852639198303,0.009101904928684235,0.006127282977104187
vit_s16,right,0.13409194350242615,0.07408468425273895,0.013981051743030548,0.008023440837860107
vit_s16,lead,0.13584640622138977,0.0725320503115654,0.01573551446199417,0.006470806896686554
clip_b32,original,0.11435890197753906,0.059601880609989166,0.0,0.0
clip_b32,left,0.11665483564138412,0.059513263404369354,0.0022959336638450623,-8.861720561981201e-05
clip_b32,right,0.11914277821779251,0.05868479982018471,0.0047838762402534485,-0.0009170807898044586
clip_b32,lead,0.12258689105510712,0.05917808413505554,0.008227989077568054,-0.00042379647493362427
dino_vits14,original,0.11807464063167572,0.06438128650188446,0.0,0.0
dino_vits14,left,0.11883064359426498,0.0617724284529686,0.0007560029625892639,-0.002608858048915863
dino_vits14,right,0.11504058539867401,0.06410936266183853,-0.003034055233001709,-0.00027192384004592896
dino_vits14,lead,0.12021701037883759,0.06613288819789886,0.0021423697471618652,0.0017516016960144043
vq_track,original,0.11807464063167572,0.06438128650188446,0.0,0.0
vq_track,left,0.11883064359426498,0.0617724284529686,0.0007560029625892639,-0.002608858048915863
vq_track,right,0.11504058539867401,0.06410936266183853,-0.003034055233001709,-0.00027192384004592896
vq_track,lead,0.12021701037883759,0.06613288819789886,0.0021423697471618652,0.0017516016960144043
